Unnamed: 0,MAGAID,MatchMAGAID
3,ef4ef00647aa8d0d088d5401aa72475b0edf836928d0bf139ee722541c453cc3,fb1dcbd78f2c991e25c797cf3e91981c2a1eb811ca022177968c53712301127d
7,0f34b4a9a9815f5baf4848f56a3435d96f3ed2d029d5a9bf91b7155e4112dba5,8ebed8fe6832749bb2e5061af329b23366b8b981e6ef5602198c3b2c2a36cff8
11,f61ce970823d8082594d348d166a7fceb5ac27bccccdee09209e714b9a3fa2f0,edee7d813639d41723fdb01cd93b3bc4dc8d8cc6bb600e1f00eea6ef5441eab7
18,a5498102bb09401e3084f58626c921d1a898c1bd6c9e81440e6ceb5aed75eafa,7b93d433d040f0679bbf63a87fc08ed026ff95e45f39c4e490abe6fbb24c8e23
27,0af3a456bcf0cfc463de365a3698089ee30f87c75f87e2ca12e22120db3177e3,ea465b2a99847135432429643148e7ef1e004669712e72bf6524dcf80e59a219
32,80632c57b3004d1a9409bac7740f58ead735cfedb126e0c88275464d97b3da52,b1d86002e403b7f0e5fce9a17c3be683360587bdfa0c258e4cf983ab25827903
61,3b27ecef471571c46add61928e3615ca26b8aafda167dfd767d9e178b93c28ec,37c25f1ac6e77b45c5366fda2be4986b40233f2571a6a198fea951fef10e1d78
70,3b27ecef471571c46add61928e3615ca26b8aafda167dfd767d9e178b93c28ec,acf368ef14080e1313342260c1406d0b9237ff2cc52d357bce1f1c27214f68be
88,3b27ecef471571c46add61928e3615ca26b8aafda167dfd767d9e178b93c28ec,2fa8d4ec91dfa7f0826ff03afe45478e59edc03dc9487f1cc60afe4e30acf4a0
94,3b27ecef471571c46add61928e3615ca26b8aafda167dfd767d9e178b93c28ec,c3ebb80ec936a99afc8964f03a65a89d9f508b5e8be2e902d53d17bdd7a169e2
115,1d6cfaca213d4e29abb0ace88397721759e0fa5c84f10037b4458088f9d88605,46be8941fd2d60847ecd6c6897f2d34e51575ccf05a226d160d6f135b21c266f
117,f0a4cd0d54d7e25559b8d7dfba06c93d584086bde5c4c3e6fc474f6ab5cd3626,a500bc0ec2cb9a410ea9c198ec8a3441fde34028faf1ade41c5873310677dc15
119,c8fb84e3370df6b9dd8e22c1baf609ae229605c4e7656a097a6337c070709d40,3a29efa7c9beff8b83c252c2d55b04dbc2f89a4447a26d1443596388325c6688
123,eb3495809c811b5e6f555d72b514aed9c87aabe97815d63b80c73930759249d9,974f4f68fe7d26ee70ac61d2053f8881baace41889f98cf080fd36c41f6b8e76
126,1cfb5694d924a7d88616e34513c4789d5c1a990fff9a7b89e1ae4e9b16dfcd20,91e1b12cc25b84ee1f59b78c7a4251be8bd1fe449f06593260920524349d2b9d
