Record ID,MAGPID,MAGAID
17246,2113722175.0,2648227797.0
18531,2911774730.0,2484493116.0
18529,2913433239.0,2484493116.0
10433,808436998.0,2106892356.0
825,1987022795.0,1509898075.0
825,1987022795.0,2792112480.0
17192,1972122922.0,2664541980.0
17192,1972122922.0,2671517798.0
17192,1972122922.0,2691529221.0
16790,2042875482.0,1896381987.0
17312,2423576330.0,2632610689.0
17312,2423576330.0,2638150341.0
17312,2423576330.0,2989319260.0
20440,2338758904.0,2039925598.0
20440,2338758904.0,2168692104.0
20440,2338758904.0,2489886658.0
20440,2338758904.0,2583909503.0
783,1966776660.0,2116345094.0
783,1966776660.0,2692940984.0
1046,2413076774.0,1488246714.0
1046,2413076774.0,2116345094.0
1043,1880853730.0,2116345094.0
1043,1880853730.0,2666735061.0
1045,1872228006.0,2116345094.0
1045,1872228006.0,2655244456.0
1044,28348412.0,2116345094.0
1044,28348412.0,2631135499.0
2083,2013851492.0,2050949803.0
2083,2013851492.0,2095949241.0
2083,2013851492.0,2175113217.0
2083,2013851492.0,2327200550.0
2083,2013851492.0,2584877199.0
2083,2013851492.0,2617358117.0
2083,2013851492.0,2632262750.0
2084,2051971773.0,2227904385.0
2084,2051971773.0,2584877199.0
2084,2051971773.0,2617358117.0
20439,2414949054.0,2550955317.0
2085,1986056947.0,2095949241.0
2085,1986056947.0,2227904385.0
2085,1986056947.0,2584877199.0
2085,1986056947.0,2617358117.0
2085,1986056947.0,2632262750.0
2082,1985435870.0,2116345094.0
2082,1985435870.0,2787930445.0
2138,2168282899.0,1798388410.0
2138,2168282899.0,2067311594.0
2138,2168282899.0,2115180308.0
2136,1985607550.0,322663189.0
2136,1985607550.0,2067311594.0
2136,1985607550.0,2681032329.0
2136,1985607550.0,3037343660.0
2139,2016007254.0,1798388410.0
2139,2016007254.0,2067311594.0
2139,2016007254.0,2115180308.0
3766,2139730797.0,2067311594.0
3766,2139730797.0,2501486114.0
3902,2399931824.0,2533489923.0
3902,2399931824.0,2536477765.0
3902,2399931824.0,2690619665.0
3771,2011986264.0,322663189.0
3771,2011986264.0,2067311594.0
28041,2050970230.0,2500240034.0
28041,2050970230.0,2572127098.0
3279,2090748459.0,322663189.0
3279,2090748459.0,1236228025.0
3279,2090748459.0,1809325086.0
3279,2090748459.0,2067311594.0
3279,2090748459.0,2501486114.0
3769,1969572070.0,322663189.0
3769,1969572070.0,2067311594.0
3769,1969572070.0,2115180308.0
3769,1969572070.0,2116089398.0
3769,1969572070.0,2501486114.0
3767,1979347184.0,322663189.0
3767,1979347184.0,2067311594.0
3768,2050763953.0,322663189.0
